timestamp,total_pkts_window,pps,monlist_pkts_window,monlist_pps,unique_srcs_window
2025-11-22T18:58:35.158544Z,0,0.0,0,0.0,0
2025-11-22T19:06:23.642505Z,0,0.0,0,0.0,0
2025-11-22T19:06:24.642053Z,0,0.0,0,0.0,0
2025-11-22T19:06:25.643400Z,0,0.0,0,0.0,0
2025-11-22T19:06:26.644070Z,0,0.0,0,0.0,0
2025-11-22T19:06:27.645160Z,0,0.0,0,0.0,0
2025-11-22T19:06:28.646128Z,0,0.0,0,0.0,0
2025-11-22T19:06:29.646341Z,0,0.0,0,0.0,0
2025-11-22T19:06:30.646676Z,0,0.0,0,0.0,0
2025-11-22T19:06:31.646851Z,0,0.0,0,0.0,0
2025-11-22T19:06:32.647916Z,0,0.0,0,0.0,0
2025-11-22T19:06:33.648317Z,0,0.0,0,0.0,0
2025-11-22T19:06:34.648649Z,0,0.0,0,0.0,0
2025-11-22T19:06:35.649264Z,0,0.0,0,0.0,0
2025-11-22T19:06:36.650137Z,0,0.0,0,0.0,0
2025-11-22T19:06:37.650427Z,0,0.0,0,0.0,0
2025-11-22T19:06:38.650587Z,0,0.0,0,0.0,0
2025-11-22T19:06:39.651456Z,0,0.0,0,0.0,0
2025-11-22T19:06:40.653774Z,0,0.0,0,0.0,0
2025-11-22T19:06:41.654067Z,0,0.0,0,0.0,0
2025-11-22T19:06:42.654684Z,0,0.0,0,0.0,0
2025-11-22T19:06:43.655019Z,0,0.0,0,0.0,0
2025-11-22T19:06:44.655362Z,0,0.0,0,0.0,0
2025-11-22T19:06:45.656541Z,0,0.0,0,0.0,0
2025-11-22T19:06:46.657715Z,0,0.0,0,0.0,0
2025-11-22T19:06:47.657954Z,0,0.0,0,0.0,0
2025-11-22T19:06:48.658566Z,0,0.0,0,0.0,0
2025-11-22T19:06:49.658798Z,0,0.0,0,0.0,0
2025-11-22T19:06:50.659845Z,0,0.0,0,0.0,0
2025-11-22T19:06:51.660676Z,0,0.0,0,0.0,0
2025-11-22T19:06:52.661198Z,0,0.0,0,0.0,0
2025-11-22T19:06:53.662012Z,0,0.0,0,0.0,0
2025-11-22T19:06:54.662137Z,0,0.0,0,0.0,0
2025-11-22T19:06:55.662824Z,0,0.0,0,0.0,0
2025-11-22T19:06:56.663216Z,0,0.0,0,0.0,0
2025-11-22T19:06:57.663491Z,0,0.0,0,0.0,0
2025-11-22T19:06:58.663600Z,0,0.0,0,0.0,0
2025-11-22T19:06:59.663884Z,0,0.0,0,0.0,0
2025-11-22T19:07:00.664792Z,0,0.0,0,0.0,0
2025-11-22T19:07:01.665305Z,0,0.0,0,0.0,0
2025-11-22T19:07:02.665896Z,0,0.0,0,0.0,0
2025-11-22T19:07:03.666418Z,0,0.0,0,0.0,0
2025-11-22T19:07:04.667415Z,0,0.0,0,0.0,0
2025-11-22T19:07:05.667535Z,0,0.0,0,0.0,0
2025-11-22T19:07:06.668456Z,0,0.0,0,0.0,0
2025-11-22T19:07:07.668830Z,0,0.0,0,0.0,0
2025-11-22T19:07:08.669473Z,0,0.0,0,0.0,0
2025-11-22T19:07:09.669942Z,0,0.0,0,0.0,0
2025-11-22T19:07:10.673627Z,0,0.0,0,0.0,0
2025-11-22T19:07:11.674113Z,0,0.0,0,0.0,0
2025-11-22T19:07:12.677956Z,0,0.0,0,0.0,0
2025-11-22T19:07:13.678411Z,0,0.0,0,0.0,0
2025-11-22T19:07:14.678835Z,0,0.0,0,0.0,0
2025-11-22T19:07:15.679509Z,0,0.0,0,0.0,0
2025-11-22T19:07:16.680098Z,0,0.0,0,0.0,0
2025-11-22T19:07:17.680657Z,0,0.0,0,0.0,0
2025-11-22T19:07:18.681028Z,0,0.0,0,0.0,0
2025-11-22T19:07:19.681596Z,0,0.0,0,0.0,0
2025-11-22T19:07:20.682034Z,0,0.0,0,0.0,0
2025-11-22T19:07:21.682420Z,0,0.0,0,0.0,0
2025-11-22T19:07:22.682929Z,0,0.0,0,0.0,0
2025-11-22T19:07:23.683334Z,0,0.0,0,0.0,0
2025-11-22T19:07:24.683723Z,0,0.0,0,0.0,0
2025-11-22T19:07:25.684291Z,0,0.0,0,0.0,0
2025-11-22T19:07:26.684507Z,0,0.0,0,0.0,0
2025-11-22T19:07:27.684804Z,0,0.0,0,0.0,0
2025-11-22T19:07:28.684957Z,0,0.0,0,0.0,0
2025-11-22T19:07:29.685422Z,0,0.0,0,0.0,0
2025-11-22T19:07:30.686139Z,0,0.0,0,0.0,0
2025-11-22T19:07:31.686564Z,0,0.0,0,0.0,0
